NOME,TIPO,APLICACAO,categoria,codigo_fabricante,descricao,link,imagem,Destaque
HiPurA® Stool DNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB544-50PR,,https://www.himedialabs.com/us/mb544-hipura-stool-dna-purification-kit.html,\Imagens\produtos\MB571-20PR.JPG,F
HiPurA® Soil DNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB542-50PR,,https://www.himedialabs.com/us/mb542-hipura-soil-dna-purification-kit.html,\Imagens\produtos\MB544-20PR.JPG,F
HiPurA® SuperPlant DNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB571-50PR,,https://www.himedialabs.com/us/mb571-hipura-superplant-dna-purification-kit-for-purification-of-dna-from-plants-rich-in-polyphenols.html,\Imagens\produtos\MB542-20PR.JPG,F
HiPurA® Paraffin-Embedded Tissue DNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB530-50PR,,https://www.himedialabs.com/us/mb530-hipura-paraffin-embedded-tissue-dna-purification-kit.html,\Imagens\produtos\Rabbit.jpg,F
HiPurA® Multi-Sample RNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB619-50PR,,https://www.himedialabs.com/us/mb619-hipura-multi-sample-rna-purification-kit.html,\Imagens\produtos\Rabbit.jpg,F
HiPurA® Tissue RNA Purification Kit,Reagentes laboratoriais,"Extração, PCR, qPCR, ddPCR",Himedia,MB618-50PR,,https://www.himedialabs.com/us/mb618-hipura-tissue-rna-purification-kit.html,\Imagens\produtos\invitek.jpg,F
"Luria Bertani Broth, Miller",Reagentes laboratoriais,Cultura celular,Himedia,G1245-500G,,https://www.himedialabs.com/us/luria-bertani-broth-miller.html,\Imagens\produtos\1001136100.jpg,T
YPD Broth (YEPD Broth),Reagentes laboratoriais,Cultura celular,Himedia,M1363-500G,,https://www.himedialabs.com/us/m1363-ypd-broth-yepd-broth.html,\Imagens\produtos\G1245-500G.jpg,F
Sabouraud Dextrose Broth,Reagentes laboratoriais,Cultura celular,Himedia,MH033-500G,,https://www.himedialabs.com/us/mh033-sabouraud-dextrose-broth.html,\Imagens\produtos\M1363-500G.jpg,F
MacConkey Broth,Reagentes laboratoriais,Cultura celular,Himedia,MH083-500G,,https://www.himedialabs.com/us/mh083-macconkey-broth.html,\Imagens\produtos\invitek.jpg,F
Luria Broth,Reagentes laboratoriais,Cultura celular,Himedia,M575-500G,,https://www.himedialabs.com/us/luria-broth-g575.html,\Imagens\produtos\AL006A-500ML.jpg,F
BHI Broth,Reagentes laboratoriais,Cultura celular,Himedia,M210-500G,,https://www.himedialabs.com/us/m210-bhi-broth-brain-heart-infusion-broth.html,\Imagens\produtos\AL028A.jpg,F
Potato Dextrose Broth,Reagentes laboratoriais,Cultura celular,Himedia,GM403-500G,,https://www.himedialabs.com/us/gm403-potato-dextrose-broth-granulated.html,\Imagens\produtos\TCL280-500ML.JPG,F
Malt extract powder,Reagentes laboratoriais,Cultura celular,Himedia,PCT0412-500G,,https://www.himedialabs.com/us/pct0412-malt-extract-powder.html,\Imagens\produtos\MH033-500G.jpg,F
"Sabouraud Dextrose Agar, Granulated",Reagentes laboratoriais,Cultura celular,Himedia,GM063-500G,,https://www.himedialabs.com/us/gm063-sabouraud-dextrose-agar-granulated.html,\Imagens\produtos\TCL280-500ML.JPG,F
Potato Dextrose Agar,Reagentes laboratoriais,Cultura celular,Himedia,GM096-500G,,https://www.himedialabs.com/us/gm096-potato-dextrose-agar-granulated.html,\Imagens\produtos\invitek.jpg,F
MacConkey Agar,Reagentes laboratoriais,Cultura celular,Himedia,MH081-500G,,https://www.himedialabs.com/us/mh081-macconkey-agar.html,\Imagens\produtos\TCL280-500ML.JPG,F
LB Growth Top Agar,Reagentes laboratoriais,Cultura celular,Himedia,G009-500G,,https://www.himedialabs.com/us/g009-lb-growth-top-agar.html,\Imagens\produtos\rabbits2.jpg,F
"Luria Bertani Agar, Miller (Miller Luria Bertani Agar)",Reagentes laboratoriais,Cultura celular,Himedia,G1151-500G,,https://www.himedialabs.com/us/luria-bertani-agar-miller-miller-luria-bertani-agar.html,\Imagens\produtos\MB554-20PR.JPG,F
YPD (YEPD) Growth Agar,Reagentes laboratoriais,Cultura celular,Himedia,G038-500G,,https://www.himedialabs.com/us/g038-ypd-yepd-growth-agar.html,\Imagens\produtos\MB580-20PR.JPG,F
Dulbecco’s Modified Eagle Medium (DMEM),Reagentes laboratoriais,Cultura celular,Himedia,AL006A-500ML,,https://www.himedialabs.com/us/al006a-dulbeccos-modified-eagle-medium-dmem-low-glucose-w-1gm-glucose-per-litre-l-glutamine-sodium-bicarbonate-and-sodium-pyruvate.html,\Imagens\produtos\MB530-20PR.JPG,T
RPMI-1640 w/L-Glutamine and Sodium bicarbonate,Reagentes laboratoriais,Cultura celular,Himedia,AL028A-500ML,,https://www.himedialabs.com/us/al028a-rpmi-1640-w-l-glutamine-and-sodium-bicarbonate.html,\Imagens\produtos\MB619-20PR.JPG,T
NuSera™ Serum Replacement Solution Sterile filtered,Reagentes laboratoriais,Cultura celular,Himedia,TCL280-500ML,,https://www.himedialabs.com/us/nuseratm-serum-replacement-solution-sterile-filtered.html,\Imagens\produtos\MB618-20PR.JPG,T
